guideline,c_category,decidability,scope,rationale,applicability_rust_general,applicability_safe_rust,rust_category
R.11.6,Required,Decidable,STU,"UB,IDB",Yes,No,Advisory
R.11.8,Required,Decidable,STU,UB,Yes,Partial,Required
R.11.9,Required,Decidable,STU,DC,No,No,n/a
R.11.10,Required,Decidable,STU,UB,No,No,n/a
R.11.11,Advisory,Decidable,STU,DC,Yes,Yes,Required
R.12.1,Advisory,Decidable,STU,DC,Yes,Yes,Advisory
R.12.2,Required,Undecidable,System,"UB,DC",Yes,Partial,Advisory
R.12.3,Advisory,Decidable,STU,DC,No,No,n/a
R.12.4,Advisory,Decidable,STU,DC,Yes,No,Advisory
R.12.5,Mandatory,Decidable,STU,DC,No,No,n/a
R.12.6,Required,Decidable,STU,UB,No,No,n/a
R.13.1,Required,Undecidable,System,UB,Yes,Yes,Advisory
R.13.2,Required,Undecidable,System,UB,No,No,n/a
R.13.3,Advisory,Decidable,STU,"UB,DC",No,No,n/a
R.13.4,Advisory,Decidable,STU,"UB,DC",No,No,n/a
R.13.5,Required,Undecidable,System,DC,Yes,Yes,Advisory
R.13.6,Required,Decidable,STU,"UB,DC",No,No,n/a
R.14.1,Required,Undecidable,System,DC,Yes,Partial,Required
R.14.2,Required,Undecidable,System,DC,No,No,n/a
R.14.3,Required,Undecidable,System,DC,Yes,Yes,Required
R.14.4,Required,Decidable,STU,DC,Yes,Yes,Required
R.15.1,Advisory,Decidable,STU,DC,No,No,n/a
R.15.2,Required,Decidable,STU,DC,No,No,n/a
R.15.3,Required,Decidable,STU,DC,No,No,n/a
R.15.4,Advisory,Decidable,STU,DC,Yes,Yes,Advisory
R.15.5,Advisory,Decidable,STU,DC,Yes,Yes,Disapplied
R.15.6,Required,Decidable,STU,DC,No,No,n/a
R.15.7,Required,Decidable,STU,DC,Yes,Yes,Advisory
R.16.1,Required,Decidable,STU,DC,No,No,n/a
R.16.2,Required,Decidable,STU,DC,No,No,n/a
R.16.3,Required,Decidable,STU,DC,No,No,n/a
R.16.4,Required,Decidable,STU,DC,No,No,n/a
R.16.5,Required,Decidable,STU,DC,No,No,n/a
R.16.6,Required,Decidable,STU,DC,No,No,n/a
R.16.7,Required,Decidable,STU,DC,No,No,n/a
R.17.1,Required,Decidable,STU,UB,No,No,n/a
R.17.2,Required,Undecidable,System,"UB,DC",Yes,Yes,Required
R.17.3,Mandatory,Decidable,STU,UB,No,No,n/a
R.17.4,Mandatory,Decidable,STU,UB,No,No,n/a
R.17.5,Required,Undecidable,System,"UB,DC",No,No,n/a
R.17.7,Required,Decidable,STU,DC,Yes,Yes,Required
R.17.8,Advisory,Undecidable,System,DC,Yes,Yes,Disapplied
R.17.9,Mandatory,Undecidable,System,UB,Yes,No,Required
R.17.10,Required,Decidable,STU,DC,No,No,n/a
R.17.11,Advisory,Undecidable,System,DC,Yes,Yes,Advisory
R.17.12,Advisory,Decidable,STU,DC,No,No,n/a
R.17.13,Required,Decidable,STU,UB,No,No,n/a
R.18.1,Required,Undecidable,System,UB,Yes,No,Required
R.18.2,Required,Undecidable,System,UB,Yes,No,Required
R.18.3,Required,Undecidable,System,UB,Yes,Yes,Required
R.18.4,Advisory,Decidable,STU,DC,Yes,No,Advisory
R.18.5,Advisory,Decidable,STU,DC,Yes,Yes,Advisory
R.18.6,Required,Undecidable,System,UB,Yes,No,Required
R.18.7,Required,Decidable,STU,"UB,DC",No,No,n/a
R.18.8,Required,Decidable,STU,"UB,DC",No,No,n/a
R.18.9,Required,Decidable,STU,UB,No,No,n/a
R.18.10,Mandatory,Decidable,STU,UB,No,No,n/a
R.19.1,Mandatory,Undecidable,System,UB,Yes,No,Required
R.19.2,Advisory,Decidable,STU,"UB,DC",Yes,Yes,Advisory
R.19.3,Required,Undecidable,System,UB,Yes,Yes,Required
R.20.1,Advisory,Decidable,STU,UB,No,No,n/a
R.20.2,Required,Decidable,STU,UB,No,No,n/a
R.20.3,Required,Decidable,STU,UB,No,No,n/a
R.20.4,Required,Decidable,STU,UB,Partial,Partial,Required
R.20.5,Advisory,Decidable,STU,DC,No,No,n/a
R.20.6,Required,Decidable,STU,UB,No,No,n/a
R.20.7,Required,Decidable,STU,DC,Partial,Partial,Advisory
R.20.8,Required,Decidable,STU,DC,No,No,n/a
R.20.9,Required,Decidable,STU,DC,No,No,n/a
R.20.10,Advisory,Decidable,STU,UB,No,No,n/a
R.20.11,Required,Decidable,STU,UB,No,No,n/a
R.20.12,Required,Decidable,STU,DC,No,No,n/a
R.20.13,Required,Decidable,STU,DC,No,No,n/a
R.20.14,Required,Decidable,STU,DC,No,No,n/a
R.20.15,Required,Decidable,STU,UB,No,No,n/a
R.21.3,Required,Decidable,STU,"UB,IDB",Yes,No,Required
R.21.4,Required,Decidable,STU,UB,Yes,No,Required
R.21.5,Required,Decidable,STU,"UB,IDB",Yes,No,Required
R.21.6,Required,Decidable,STU,"UB,IDB",Yes,No,Required
R.21.7,Required,Decidable,STU,UB,Yes,No,Required
R.21.8,Required,Decidable,STU,"UB,IDB",Yes,No,Required
R.21.9,Required,Decidable,STU,UB,Yes,No,Required
R.21.10,Required,Decidable,STU,"UB,IDB",Yes,No,Required
R.21.11,Advisory,Decidable,STU,UB,No,No,n/a
R.21.12,Required,Decidable,STU,"UB,IDB",Yes,No,Required
R.21.13,Mandatory,Undecidable,System,UB,Yes,No,Required
R.21.14,Required,Undecidable,System,DC,Yes,No,Required
R.21.15,Required,Decidable,STU,DC,Yes,No,Required
R.21.16,Required,Decidable,STU,UB,Yes,No,Required
R.21.17,Mandatory,Undecidable,System,UB,Yes,No,Required
R.21.18,Mandatory,Undecidable,System,UB,Yes,No,Required
R.21.19,Mandatory,Undecidable,System,UB,Yes,No,Required
R.21.20,Mandatory,Undecidable,System,"IDB,DC",Yes,No,Required
R.21.21,Required,Decidable,STU,"UB,IDB",Yes,No,Required
R.21.22,Mandatory,Decidable,STU,UB,No,No,n/a
R.21.23,Required,Decidable,STU,DC,No,No,n/a
R.21.24,Required,Decidable,STU,CQ,Yes,No,Required
R.21.25,Required,Decidable,STU,UB,Yes,Yes,Required
R.21.26,Required,Undecidable,System,UB,Yes,No,Required
R.22.1,Required,Undecidable,System,"UB,CQ",Yes,No,Required
R.22.2,Mandatory,Undecidable,System,UB,Yes,No,Required
R.22.3,Required,Undecidable,System,"UB,IDB",Yes,No,Required
R.22.4,Mandatory,Undecidable,System,UB,Yes,No,Required
R.22.5,Mandatory,Undecidable,System,IDB,Yes,No,Required
